moment,agency,social
"My wife and I received news that we would be getting money back this year on our taxes, which is most unexpected, and we are thrilled.",no,yes
A shirt that I ordered came in the mail.,no,no
I went to the movies to see Get Out with my friends.,yes,yes
I was able to lose a few pounds I'd been carrying.,yes,no
I am blessed with a baby girl,no,yes
My husband and I celebrated the 37th anniversary of the day we met.,yes,yes
Listening to a panel on urban reconstruction in postwar east Asia at a conference.,yes,no
Hearing that my parents are coming to town for a few days,no,yes
"Getting to know someone, a new, special friend.",yes,yes
Watching my favorite childhood movie The Wizard of Oz on television.,yes,no
I was happy when I was cuddling with my girlfriend watching Iron Fist on Netflix.,yes,yes
I was offered an exciting professional opportunity.,no,no
I have been trying to gain weight and have gained almost 10 pounds in muscle,yes,no
I was happy when I was watching a funny video on YouTube about one of my favorite video games.,yes,no
Found out my sick dog was going to be okay.,no,yes
I was incredibly happy to find out my father-in-law is now cancer free as of his last doctors visit!,yes,yes
"getting a promotion at work, thereby getting a salary increase",no,no
I celebrated my mom's birthday and it was fun to be with family.,yes,yes
I received a compliment on a presentation I made at work.,no,yes
I found a gorgeous dress at a deep discount.,yes,no
"I found out that the size of my team at work will be doubling, lessening my workload (and stress level).",no,yes
i bought a new vehicle.,yes,no
My dog scratches on the door and wakes me up to get under the warm blanket when mom leaves for work.,yes,yes
I got a raise for good job performance.,yes,no
I had a relaxing day of shopping with my mother-in-law for the first time in a long time.,yes,yes
Eating a great meal prepared at a fine local restaurant and just being thankful for that.,yes,no
"My daughter competed in the high school dance competition, and her team won many awards during the event.",no,yes
I bought tires and was given an unexpected credit due to previous tires not meeting their mileage warranty.,yes,no
Receiving a warm welcome home from my two greyhounds.,yes,yes
"1 week ago, we have celebrated my brother birthday",yes,yes
I had dinner at Pho Ca Dao and had a pretty good bowl of pho there.,yes,no
"i was happy because that i had a bike ride with my friend in a road,i felt that a happy moment",yes,yes
I bought a new gun for Counter Strike game.,yes,no
"Last night I watched an episode of aThe Waltonsa with my Mom and Little sister Tessa after which I hit the hay and slept like a brick after which I woke up, went to work, got off work early, bought some good food to reset my microbiome then headed",yes,yes
I had really good tacos for dinner.,yes,no
I bought a new oven which I wanted since a long time,yes,no
I received a job offer in Switzerland.,yes,no
"Before 2hours i got my monthly payment ,this is one of the happy moment",yes,no
I made my partner some dinner and she enjoyed it a lot.,yes,yes
played 5.1 effect audio song and danced with my friends for that song with full sprit,yes,yes
I had a very successful meeting with some coworkers and it made me feel very happy.,yes,yes
I won in the card game i was playing.,yes,yes
I was happy when I was able to take my baby outside for a walk in his stroller.,yes,yes
Providing dinner and relaxation for my fiancee before she had to leave on a trip,yes,yes
I went shopping at antique stores with my mom and friend.,yes,yes
When I ate a delicious medium rare steak for dinner.,yes,no
I made my goal on mturk,yes,no
When I got back home from work and my 6 months old baby girl saw me for the first time of the day and she gave me the most ecstatic smile ever.,yes,yes
My infant daughter started giggling at a funny face that I made at her and it made my heart want to explode with joy.,yes,yes
I got off of work.,yes,no
Seeing and talking with friends,yes,yes
My staff meeting got cancelled.,no,yes
Pushing my little girl on her bike,yes,yes
I finished reading a magazine.,yes,no
My daughter baked a cake for me in the new oven,no,yes
one hour before i go to shop and help the old man cross the road,yes,yes
"After weeks of looking for a new job, with no success, I got 2 spontaneous job offers via email.",yes,no
I played some dota.,yes,no
"It made me happy to talk to former co-workers who are going through difficulties with another co-worker, and to realize that we are still as close as we were.",yes,yes
My Sister got government job,no,yes
I purchased a Air Cooler for my Office to work with a cool mind,yes,no
I have received a bonus payment with my salary as a gift from higher officials.,no,yes
i am still watching movie,yes,no
The recognition of my child in school,no,yes
Getting a project completed at work that has been a long time in the works,yes,no
I passed a very hard school test with almost 100% yesterday.,yes,no
"I won first prize in Marathon yesterday, i am very happy.",yes,yes
I had lunch with my wife and daughter at my favorite Mexican restaurant.,yes,yes
I kissed my wife.,yes,yes
Going to the store and picking up some rare beer,yes,no
My daughter wore an appropriate outfit that was cute and looked great on her.,no,yes
"That my husband got a one dollar raise added to his hourly income, and he has 4 vacation days to use up still.",no,yes
Ate mexican food for dinner.,yes,no
"when I am going to office morning,i have not stuck in traffic ..this is also a happy moment",no,no
"I went to a supermarket where I don't usually go, but a product that I like but seldom can buy because the supermarket is not close by, and had this product for lunch.",yes,no
My work colleague gave me the news that I was promoted to a higher rank.,yes,yes
I played video games with my kids and we all had a blast.,yes,yes
It made me happy that my daughter received praise at work from her superior.,no,yes
Yesterday my wife prepared me a very delicious meal and it reminded me of my mothers cooking taste and i was very happy.,no,yes
i went to watch movie last night,yes,no
I went clothes shopping with my children and was able to find everything we needed.,yes,yes
I reached my daily work goal which made me happy.,yes,yes
Finally picking out a new mattress and bed,yes,no
